"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2006","Montenegro","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,147.2",""
"2006","Montenegro","Terajoule","All products","Gross inland consumption","48,029",""
"2006","Former Yugoslav Republic of Macedonia, the","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,896.8",""
"2006","Former Yugoslav Republic of Macedonia, the","Terajoule","All products","Gross inland consumption","121,284",""
"2006","Albania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,127.0",""
"2006","Albania","Terajoule","All products","Gross inland consumption","89,053",""
"2006","Serbia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","16,711.6",""
"2006","Serbia","Terajoule","All products","Gross inland consumption","699,680",""
"2006","Turkey","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","94,266.9",""
"2006","Turkey","Terajoule","All products","Gross inland consumption","3,946,767",""
"2006","Bosnia and Herzegovina","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,064.4","p"
"2006","Bosnia and Herzegovina","Terajoule","All products","Gross inland consumption","170,167","p"
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,970.6",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Terajoule","All products","Gross inland consumption","82,504",""
"2006","Moldova","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","3,473.4","p"
"2006","Moldova","Terajoule","All products","Gross inland consumption","145,424","p"
"2006","Ukraine","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","135,588.2",""
"2006","Ukraine","Terajoule","All products","Gross inland consumption","5,676,806",""
"2007","European Union (28 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,809,931.7",""
"2007","European Union (28 countries)","Terajoule","All products","Gross inland consumption","75,778,221",""
"2007","Euro area (19 countries)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","1,276,582.4",""
"2007","Euro area (19 countries)","Terajoule","All products","Gross inland consumption","53,447,951",""
"2007","Belgium","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","56,979.6",""
"2007","Belgium","Terajoule","All products","Gross inland consumption","2,385,623",""
"2007","Bulgaria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","20,036.9",""
"2007","Bulgaria","Terajoule","All products","Gross inland consumption","838,906",""
"2007","Czech Republic","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","46,503.1",""
"2007","Czech Republic","Terajoule","All products","Gross inland consumption","1,946,991",""
"2007","Denmark","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","20,516.4",""
"2007","Denmark","Terajoule","All products","Gross inland consumption","858,983",""
"2007","Germany (until 1990 former territory of the FRG)","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","333,796.5",""
"2007","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Gross inland consumption","13,975,390",""
"2007","Estonia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","6,145.7",""
"2007","Estonia","Terajoule","All products","Gross inland consumption","257,309",""
"2007","Ireland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","15,937.6",""
"2007","Ireland","Terajoule","All products","Gross inland consumption","667,277",""
"2007","Greece","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","31,517.6",""
"2007","Greece","Terajoule","All products","Gross inland consumption","1,319,578",""
"2007","Spain","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","146,284.3",""
"2007","Spain","Terajoule","All products","Gross inland consumption","6,124,630",""
"2007","France","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","269,642.9",""
"2007","France","Terajoule","All products","Gross inland consumption","11,289,410",""
"2007","Croatia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","10,133.0",""
"2007","Croatia","Terajoule","All products","Gross inland consumption","424,250",""
"2007","Italy","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","188,086.5",""
"2007","Italy","Terajoule","All products","Gross inland consumption","7,874,808",""
"2007","Cyprus","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","2,752.9",""
"2007","Cyprus","Terajoule","All products","Gross inland consumption","115,260",""
"2007","Latvia","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,886.1",""
"2007","Latvia","Terajoule","All products","Gross inland consumption","204,571",""
"2007","Lithuania","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","9,302.9",""
"2007","Lithuania","Terajoule","All products","Gross inland consumption","389,493",""
"2007","Luxembourg","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","4,631.1",""
"2007","Luxembourg","Terajoule","All products","Gross inland consumption","193,894",""
"2007","Hungary","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","26,825.7",""
"2007","Hungary","Terajoule","All products","Gross inland consumption","1,123,140",""
"2007","Malta","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","970.1",""
"2007","Malta","Terajoule","All products","Gross inland consumption","40,615",""
"2007","Netherlands","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","83,182.6",""
"2007","Netherlands","Terajoule","All products","Gross inland consumption","3,482,688",""
"2007","Austria","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","33,802.9",""
"2007","Austria","Terajoule","All products","Gross inland consumption","1,415,259",""
"2007","Poland","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","96,801.8",""
"2007","Poland","Terajoule","All products","Gross inland consumption","4,052,897",""
"2007","Portugal","Thousand tonnes of oil equivalent (TOE)","All products","Gross inland consumption","26,175.2",""
"2007","Portugal","Terajoule","All products","Gross inland consumption","1,095,905",""
