"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017"
"0 Hele landet","Innvandrere","Danmark",17774,17957,18227,18672,19220,19973,19827,19494
"0 Hele landet","Innvandrere","Grønland",159,166,164,173,182,194,209,200
"0 Hele landet","Innvandrere","Finland",6163,6131,6160,6182,6252,6336,6362,6333
"0 Hele landet","Innvandrere","Færøyene",688,682,716,729,772,764,732,700
"0 Hele landet","Innvandrere","Island",4540,5556,6572,7143,7487,7924,8198,7883
"0 Hele landet","Innvandrere","Sverige",29763,32538,34838,35602,36369,36887,37134,36315
"0 Hele landet","Innvandrere","Albania",412,443,488,568,729,948,1222,1479
"0 Hele landet","Innvandrere","Andorra",6,5,6,9,9,11,12,14
"0 Hele landet","Innvandrere","Belgia",816,868,925,1010,1068,1125,1185,1196
"0 Hele landet","Innvandrere","Bosnia-Hercegovina",13103,13111,13146,13232,13315,13453,13474,13591
"0 Hele landet","Innvandrere","Bulgaria",2018,2531,3138,3917,4914,5681,6415,6726
"0 Hele landet","Innvandrere","Estland",1981,2737,3630,4394,4791,5067,5078,4944
"0 Hele landet","Innvandrere","Frankrike",3684,4024,4424,4700,4921,5228,5316,5307
"0 Hele landet","Innvandrere","Gibraltar",3,3,0,0,0,0,3,3
"0 Hele landet","Innvandrere","Guernsey",0,0,0,0,0,3,4,4
"0 Hele landet","Innvandrere","Hellas",702,790,987,1312,1711,2060,2339,2586
"0 Hele landet","Innvandrere","Hviterussland",671,705,777,872,933,983,1020,1047
"0 Hele landet","Innvandrere","Irland",610,698,790,883,953,990,1027,1027
"0 Hele landet","Innvandrere","Italia",1892,2122,2389,2756,3122,3525,3888,4069
"0 Hele landet","Innvandrere","Jersey",0,0,0,0,0,0,3,0
"0 Hele landet","Innvandrere","Kosovo",9417,9525,9686,9821,9914,10016,9896,10034
"0 Hele landet","Innvandrere","Kroatia",2685,2732,2828,2959,3017,3348,3747,4124
"0 Hele landet","Innvandrere","Latvia",2710,4777,6663,8077,8920,9602,9963,10052
"0 Hele landet","Innvandrere","Liechtenstein",22,25,24,23,22,21,21,21
"0 Hele landet","Innvandrere","Litauen",9838,15519,22673,28605,32917,35901,37376,37638
"0 Hele landet","Innvandrere","Luxembourg",37,37,36,37,40,40,43,44
"0 Hele landet","Innvandrere","Makedonia",2168,2229,2290,2363,2425,2503,2568,2692
"0 Hele landet","Innvandrere","Malta",44,55,54,66,72,76,76,79
"0 Hele landet","Innvandrere","Man",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Moldova",302,348,408,512,635,769,912,987
"0 Hele landet","Innvandrere","Monaco",8,11,12,12,11,10,12,10
"0 Hele landet","Innvandrere","Montenegro",289,298,323,342,362,389,426,443
"0 Hele landet","Innvandrere","Nederland",6270,6550,6818,7086,7260,7589,7729,7713
"0 Hele landet","Innvandrere","Polen",49309,56878,67339,76662,84004,90962,95724,97196
"0 Hele landet","Innvandrere","Portugal",1011,1145,1462,1853,2414,2810,3057,3211
"0 Hele landet","Innvandrere","Romania",4235,5245,6322,7947,10116,11923,13380,13889
"0 Hele landet","Innvandrere","Russland",13470,14228,14953,15802,16412,16803,17058,17225
"0 Hele landet","Innvandrere","San Marino",3,4,4,4,4,4,5,5
"0 Hele landet","Innvandrere","Serbia",2215,2388,2635,3050,3508,4012,4710,5361
"0 Hele landet","Innvandrere","Serbia og Montenegro",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Slovakia",2045,2374,2801,3232,3538,3834,3967,3902
"0 Hele landet","Innvandrere","Slovenia",184,218,238,283,317,371,386,407
"0 Hele landet","Innvandrere","Spania",2070,2432,2977,3882,4686,5361,5779,6049
"0 Hele landet","Innvandrere","Storbritannia",12140,12675,13211,13718,13975,14294,14475,14330
"0 Hele landet","Innvandrere","Sveits",1094,1136,1201,1283,1298,1326,1352,1388
"0 Hele landet","Innvandrere","Tsjekkia",1315,1443,1601,1757,1950,2102,2181,2201
"0 Hele landet","Innvandrere","Tyrkia",10378,10583,10696,10786,10939,11049,11142,11330
"0 Hele landet","Innvandrere","Tyskland",21341,22651,23740,24240,24336,24611,24909,24601
"0 Hele landet","Innvandrere","Ukraina",2440,2714,3104,3499,3838,4181,4572,4881
"0 Hele landet","Innvandrere","Ungarn",1863,2152,2474,2844,3244,3600,3811,3863
"0 Hele landet","Innvandrere","Vatikanstaten",0,0,0,0,0,0,0,3
"0 Hele landet","Innvandrere","Østerrike",956,1030,1071,1145,1194,1211,1263,1287
"0 Hele landet","Innvandrere","Algerie",1100,1114,1140,1178,1180,1198,1224,1240
"0 Hele landet","Innvandrere","Angola",366,385,405,434,442,472,498,490
"0 Hele landet","Innvandrere","Benin",17,18,25,27,30,27,28,28
"0 Hele landet","Innvandrere","Botswana",64,64,63,68,75,70,68,68
"0 Hele landet","Innvandrere","Det britiske territoriet i Indiahavet",0,0,3,0,0,0,3,3
"0 Hele landet","Innvandrere","Burkina Faso",23,24,28,29,30,32,33,31
"0 Hele landet","Innvandrere","Burundi",951,982,1014,1043,1068,1081,1056,1075
"0 Hele landet","Innvandrere","Djibouti",34,41,47,50,52,54,59,62
"0 Hele landet","Innvandrere","Egypt",697,761,804,903,958,1038,1061,1128
"0 Hele landet","Innvandrere","Ekvatorial-Guinea",3,3,3,4,9,12,10,11
"0 Hele landet","Innvandrere","Elfenbeinskysten",226,235,239,254,261,265,298,304
"0 Hele landet","Innvandrere","Eritrea",4759,6536,8135,10040,12366,14741,17592,19957
"0 Hele landet","Innvandrere","Etiopia",4219,4724,5172,5683,6217,6716,7410,7888
"0 Hele landet","Innvandrere","Gabon",7,6,6,10,12,8,9,11
"0 Hele landet","Innvandrere","Gambia",1012,1042,1075,1099,1129,1153,1178,1202
"0 Hele landet","Innvandrere","Ghana",1504,1558,1583,1665,1775,1855,1928,1920
"0 Hele landet","Innvandrere","Guinea",132,147,169,190,224,234,276,283
"0 Hele landet","Innvandrere","Guinea-Bissau",21,23,28,33,47,54,57,59
"0 Hele landet","Innvandrere","Kamerun",412,462,490,510,527,550,577,599
"0 Hele landet","Innvandrere","Kapp Verde",385,391,399,396,394,395,386,389
"0 Hele landet","Innvandrere","Kenya",1101,1157,1221,1285,1401,1521,1706,1790
"0 Hele landet","Innvandrere","Komorene",4,4,4,4,4,4,5,5
"0 Hele landet","Innvandrere","Kongo",1759,1847,1895,1935,2118,2230,2219,2254
"0 Hele landet","Innvandrere","Kongo-Brazzaville",121,130,150,177,205,221,236,243
"0 Hele landet","Innvandrere","Lesotho",7,7,7,5,6,9,10,8
"0 Hele landet","Innvandrere","Liberia",923,938,956,957,965,959,889,893
"0 Hele landet","Innvandrere","Libya",253,269,356,461,480,498,614,655
"0 Hele landet","Innvandrere","Madagaskar",176,190,182,188,194,198,195,202
"0 Hele landet","Innvandrere","Malawi",64,61,66,63,76,83,104,105
"0 Hele landet","Innvandrere","Mali",26,28,26,30,32,36,36,38
"0 Hele landet","Innvandrere","Marokko",4861,4987,5112,5228,5357,5517,5616,5796
"0 Hele landet","Innvandrere","Mauritania",17,20,28,33,48,56,57,58
"0 Hele landet","Innvandrere","Mauritius",163,166,168,172,174,175,177,183
"0 Hele landet","Innvandrere","Mayotte",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Mosambik",118,119,130,141,153,164,161,167
"0 Hele landet","Innvandrere","Namibia",66,70,69,72,71,70,71,71
"0 Hele landet","Innvandrere","Niger",35,38,41,45,47,47,56,56
"0 Hele landet","Innvandrere","Nigeria",983,1106,1254,1422,1566,1717,1761,1806
"0 Hele landet","Innvandrere","Réunion",4,3,3,3,4,4,3,3
"0 Hele landet","Innvandrere","Rwanda",539,561,579,598,604,623,629,624
"0 Hele landet","Innvandrere","São Tomé og Príncipe",3,3,3,3,3,3,4,4
"0 Hele landet","Innvandrere","Senegal",163,171,192,213,219,237,257,275
"0 Hele landet","Innvandrere","Den sentralafrikanske republikk",7,7,6,11,12,19,18,19
"0 Hele landet","Innvandrere","Seychellene",11,12,11,10,10,10,10,10
"0 Hele landet","Innvandrere","Sierra Leone",458,463,474,488,493,507,497,504
"0 Hele landet","Innvandrere","Somalia",18349,19707,20976,24015,26162,27333,28300,28696
"0 Hele landet","Innvandrere","St. Helena",3,0,3,3,3,3,3,3
"0 Hele landet","Innvandrere","Sudan",1052,1307,1463,2077,2629,3123,3697,4264
"0 Hele landet","Innvandrere","Swaziland",4,4,5,6,4,5,5,7
"0 Hele landet","Innvandrere","Sør-Afrika",736,774,799,869,900,926,961,989
"0 Hele landet","Innvandrere","Sør-Sudan",0,0,182,185,181,176,178,172
"0 Hele landet","Innvandrere","Tanzania",637,670,677,697,691,708,763,755
"0 Hele landet","Innvandrere","Togo",97,103,106,111,112,114,110,111
"0 Hele landet","Innvandrere","Tsjad",20,22,22,22,20,20,32,31
"0 Hele landet","Innvandrere","Tunisia",839,831,885,939,948,979,1005,1021
"0 Hele landet","Innvandrere","Uganda",771,792,812,891,975,1052,1231,1227
"0 Hele landet","Innvandrere","Vest-Sahara",12,21,28,35,41,41,36,35
"0 Hele landet","Innvandrere","Zambia",279,300,322,338,354,353,459,437
"0 Hele landet","Innvandrere","Zimbabwe",176,188,202,218,225,235,233,238
"0 Hele landet","Innvandrere","Afghanistan",9074,10371,11279,12195,12880,13440,14233,15986
"0 Hele landet","Innvandrere","Armenia",206,231,251,280,299,316,303,316
"0 Hele landet","Innvandrere","Aserbajdsjan",367,403,455,501,503,507,510,525
"0 Hele landet","Innvandrere","Bahrain",10,11,9,9,10,14,16,17
"0 Hele landet","Innvandrere","Bangladesh",579,618,684,760,810,860,911,946
"0 Hele landet","Innvandrere","Bhutan",225,246,253,356,355,360,362,365
"0 Hele landet","Innvandrere","Brunei",11,12,13,11,10,14,11,12
"0 Hele landet","Innvandrere","Filippinene",12128,13372,14903,16335,18056,19076,19776,20537
"0 Hele landet","Innvandrere","De forente arabiske emirater",112,138,159,182,214,255,316,380
"0 Hele landet","Innvandrere","Georgia",212,227,246,287,306,317,311,321
"0 Hele landet","Innvandrere","Hongkong",654,657,661,672,664,680,819,814
"0 Hele landet","Innvandrere","India",6888,7114,7721,8691,9485,10506,10954,11022
"0 Hele landet","Innvandrere","Indonesia",1015,1083,1158,1236,1254,1278,1271,1269
"0 Hele landet","Innvandrere","Irak",20443,21272,21784,21961,21963,21965,22154,22493
"0 Hele landet","Innvandrere","Iran",13508,14007,14795,15557,16294,16608,16462,17169
"0 Hele landet","Innvandrere","Israel",551,566,577,616,628,642,644,672
"0 Hele landet","Innvandrere","Japan",749,787,820,856,858,912,935,962
"0 Hele landet","Innvandrere","Jemen",157,211,263,297,316,337,406,483
"0 Hele landet","Innvandrere","Jordan",282,305,329,332,342,391,448,493
"0 Hele landet","Innvandrere","Kambodsja",355,363,379,385,408,423,408,419
"0 Hele landet","Innvandrere","Kasakhstan",656,696,732,796,852,899,908,911
"0 Hele landet","Innvandrere","Kina",6187,6664,7126,7558,7908,8252,8350,8475
"0 Hele landet","Innvandrere","Kirgisistan",137,151,155,163,187,185,204,219
"0 Hele landet","Innvandrere","Kuwait",274,283,307,326,344,355,379,403
"0 Hele landet","Innvandrere","Kypros",98,107,114,119,139,163,171,177
"0 Hele landet","Innvandrere","Laos",85,87,93,97,98,99,102,110
"0 Hele landet","Innvandrere","Libanon",1630,1665,1715,1725,1738,1805,1917,2216
"0 Hele landet","Innvandrere","Macao",81,89,90,95,83,80,80,79
"0 Hele landet","Innvandrere","Malaysia",442,464,518,605,644,652,741,751
"0 Hele landet","Innvandrere","Maldivene",4,6,9,10,9,5,6,5
"0 Hele landet","Innvandrere","Mongolia",87,91,98,109,121,129,133,139
"0 Hele landet","Innvandrere","Myanmar",2699,2955,3069,3342,3382,3402,3144,3186
"0 Hele landet","Innvandrere","Nepal",640,851,965,1195,1335,1465,1564,1705
"0 Hele landet","Innvandrere","Nord-Korea",30,29,30,29,28,28,28,28
"0 Hele landet","Innvandrere","Oman",6,12,17,15,20,29,21,21
"0 Hele landet","Innvandrere","Pakistan",17098,17454,17893,18440,18832,19219,19571,19973
"0 Hele landet","Innvandrere","Palestina",2702,3027,3197,3252,3286,3337,3334,3361
"0 Hele landet","Innvandrere","Qatar",12,15,24,26,30,32,45,57
"0 Hele landet","Innvandrere","Saudi-Arabia",175,205,244,285,355,407,665,780
"0 Hele landet","Innvandrere","Singapore",319,333,355,371,403,397,390,397
"0 Hele landet","Innvandrere","Sri Lanka",8606,8699,8816,8943,9019,9111,9092,9109
"0 Hele landet","Innvandrere","Syria",1404,1497,1571,2009,3080,5450,9710,20823
"0 Hele landet","Innvandrere","Sør-Korea",739,772,835,888,966,1037,1059,1079
"0 Hele landet","Innvandrere","Tadsjikistan",93,97,99,103,108,104,106,110
"0 Hele landet","Innvandrere","Taiwan",196,204,218,222,228,238,256,274
"0 Hele landet","Innvandrere","Thailand",11872,12852,13882,14988,15887,16555,17518,18634
"0 Hele landet","Innvandrere","Turkmenistan",56,60,67,71,72,74,83,81
"0 Hele landet","Innvandrere","Usbekistan",301,326,373,400,439,474,524,593
"0 Hele landet","Innvandrere","Vietnam",12892,13036,13222,13422,13580,13701,13608,13750
"0 Hele landet","Innvandrere","Øst-Timor",14,16,12,10,18,15,9,10
"0 Hele landet","Innvandrere","De amerikanske Jomfruøyene",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Anguilla",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Antigua og Barbuda",3,3,3,3,3,4,4,4
"0 Hele landet","Innvandrere","Aruba",12,12,11,11,10,10,12,12
"0 Hele landet","Innvandrere","Bahamas",5,6,8,8,10,10,15,14
"0 Hele landet","Innvandrere","Barbados",18,17,18,18,18,20,20,21
"0 Hele landet","Innvandrere","Belize",8,10,11,11,11,12,12,13
"0 Hele landet","Innvandrere","Bermuda",4,4,3,3,4,4,3,4
"0 Hele landet","Innvandrere","Bonaire, Sint Eustatius og Saba",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","De britiske Jomfruøyene",0,0,0,0,3,0,0,0
"0 Hele landet","Innvandrere","Canada",1548,1623,1612,1712,1717,1751,1825,1855
"0 Hele landet","Innvandrere","Caymanøyene",0,3,3,3,3,5,4,5
"0 Hele landet","Innvandrere","Costa Rica",106,100,110,113,127,138,139,142
"0 Hele landet","Innvandrere","Cuba",693,730,787,823,885,929,970,1004
"0 Hele landet","Innvandrere","Curaçao",0,0,29,27,26,26,27,27
"0 Hele landet","Innvandrere","Dominica",15,15,15,15,18,18,21,23
"0 Hele landet","Innvandrere","Den dominikanske republikk",523,553,612,668,717,751,790,838
"0 Hele landet","Innvandrere","El Salvador",153,162,165,182,187,199,205,207
"0 Hele landet","Innvandrere","Franske Antiller",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Grenada",16,17,17,17,15,15,15,15
"0 Hele landet","Innvandrere","Guadeloupe",4,3,3,3,3,3,3,3
"0 Hele landet","Innvandrere","Guatemala",134,149,154,166,175,180,186,191
"0 Hele landet","Innvandrere","Haiti",23,27,28,31,34,33,38,40
"0 Hele landet","Innvandrere","Honduras",83,85,82,92,100,101,105,107
"0 Hele landet","Innvandrere","Jamaica",126,135,141,145,145,138,152,150
"0 Hele landet","Innvandrere","Martinique",6,6,7,7,7,7,6,6
"0 Hele landet","Innvandrere","Mexico",739,804,873,957,1037,1104,1152,1192
"0 Hele landet","Innvandrere","Montserrat",0,0,0,3,3,3,3,3
"0 Hele landet","Innvandrere","De nederlandske antillene",27,29,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Nicaragua",127,127,134,143,147,156,156,170
"0 Hele landet","Innvandrere","Panama",48,46,47,46,53,54,59,69
"0 Hele landet","Innvandrere","Puerto Rico",18,18,20,22,23,23,23,21
"0 Hele landet","Innvandrere","Saint Kitts og Nevis",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Saint Lucia",11,11,11,11,12,12,11,11
"0 Hele landet","Innvandrere","Saint Vincent og Grenadinene",4,3,3,4,4,5,5,5
"0 Hele landet","Innvandrere","Saint-Barthélemy",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Saint-Martin",0,0,0,0,0,3,0,0
"0 Hele landet","Innvandrere","Saint-Pierre-et-Miquelon",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Sint Maarten",0,0,0,3,0,3,3,3
"0 Hele landet","Innvandrere","Trinidad og Tobago",251,255,254,254,259,262,259,252
"0 Hele landet","Innvandrere","Turks- og Caicosøyene",0,0,0,0,0,0,3,3
"0 Hele landet","Innvandrere","USA",7414,7562,7715,8102,8301,8379,8446,8446
"0 Hele landet","Innvandrere","Argentina",606,650,708,760,814,872,928,931
"0 Hele landet","Innvandrere","Bolivia",209,225,247,253,276,292,298,305
"0 Hele landet","Innvandrere","Brasil",2728,2913,3201,3539,3847,4169,4263,4403
"0 Hele landet","Innvandrere","Chile",6029,6098,6135,6198,6218,6241,6191,6171
"0 Hele landet","Innvandrere","Colombia",1100,1184,1334,1521,1693,1820,1819,1891
"0 Hele landet","Innvandrere","Ecuador",317,331,362,389,444,488,500,508
"0 Hele landet","Innvandrere","Falklandsøyene",0,0,0,3,3,3,0,0
"0 Hele landet","Innvandrere","Fransk Guyana",4,5,5,5,5,4,4,3
"0 Hele landet","Innvandrere","Guyana",78,79,79,80,80,78,80,82
"0 Hele landet","Innvandrere","Paraguay",88,96,90,93,93,103,107,113
"0 Hele landet","Innvandrere","Peru",953,1014,1023,1093,1163,1237,1256,1306
"0 Hele landet","Innvandrere","Surinam",36,34,36,38,36,36,38,37
"0 Hele landet","Innvandrere","Uruguay",167,176,189,192,210,212,212,208
"0 Hele landet","Innvandrere","Venezuela",559,609,736,862,933,997,1023,1027
"0 Hele landet","Innvandrere","Amerikansk Samoa",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Australia",1197,1267,1339,1399,1430,1489,1530,1543
"0 Hele landet","Innvandrere","Christmasøya",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Cookøyene",3,0,0,3,0,0,0,0
"0 Hele landet","Innvandrere","Fiji",33,33,34,36,35,34,37,36
"0 Hele landet","Innvandrere","Fransk Polynesia",5,5,4,5,5,6,6,6
"0 Hele landet","Innvandrere","Guam",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Kiribati",0,0,0,0,3,3,3,3
"0 Hele landet","Innvandrere","Kokosøyene",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Marshalløyene",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Mikronesiaføderasjonen",3,3,3,3,0,0,0,3
"0 Hele landet","Innvandrere","Mindre stillehavsøyer (am.)",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Nauru",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","New Zealand",414,438,457,485,494,512,506,487
"0 Hele landet","Innvandrere","Niue",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Nord-Marianene",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Norfolkøya",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Ny-Caledonia",5,5,5,4,4,4,5,5
"0 Hele landet","Innvandrere","Palau",0,3,3,0,3,3,3,0
"0 Hele landet","Innvandrere","Papua Ny-Guinea",5,4,3,0,3,4,5,8
"0 Hele landet","Innvandrere","Pitcairn",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Salomonøyene",3,3,3,4,5,6,6,5
"0 Hele landet","Innvandrere","Samoa",3,3,3,3,3,3,3,3
"0 Hele landet","Innvandrere","Tokelau",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Tonga",5,5,5,5,5,5,5,5
"0 Hele landet","Innvandrere","Tuvalu",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Vanuatu",3,3,3,0,3,0,0,0
"0 Hele landet","Innvandrere","Wallis- og Futunaøyene",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Statsløse",0,0,0,0,0,0,0,0
"0 Hele landet","Innvandrere","Uoppgitt",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Danmark",1155,1173,1208,1192,1169,1174,1165,1151
"01 Østfold","Innvandrere","Grønland",8,8,8,9,10,9,10,9
"01 Østfold","Innvandrere","Finland",248,253,244,255,256,269,284,295
"01 Østfold","Innvandrere","Færøyene",25,30,32,30,29,29,28,29
"01 Østfold","Innvandrere","Island",225,298,354,392,433,454,507,531
"01 Østfold","Innvandrere","Sverige",1997,2100,2163,2231,2257,2297,2379,2393
"01 Østfold","Innvandrere","Albania",44,43,43,46,50,59,73,92
"01 Østfold","Innvandrere","Andorra",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Belgia",32,31,36,35,44,44,45,40
"01 Østfold","Innvandrere","Bosnia-Hercegovina",1609,1655,1658,1699,1704,1715,1715,1740
"01 Østfold","Innvandrere","Bulgaria",79,90,103,111,144,154,166,186
"01 Østfold","Innvandrere","Estland",109,144,171,207,208,217,220,236
"01 Østfold","Innvandrere","Frankrike",81,84,95,101,111,118,108,112
"01 Østfold","Innvandrere","Gibraltar",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Guernsey",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Hellas",30,32,46,69,79,99,111,120
"01 Østfold","Innvandrere","Hviterussland",44,43,44,47,52,53,58,59
"01 Østfold","Innvandrere","Irland",22,23,27,30,30,35,37,40
"01 Østfold","Innvandrere","Italia",57,55,63,69,78,91,102,105
"01 Østfold","Innvandrere","Jersey",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Kosovo",1565,1591,1603,1639,1690,1709,1695,1711
"01 Østfold","Innvandrere","Kroatia",181,186,190,202,197,213,224,241
"01 Østfold","Innvandrere","Latvia",123,223,283,336,371,399,403,407
"01 Østfold","Innvandrere","Liechtenstein",0,0,0,3,0,0,0,3
"01 Østfold","Innvandrere","Litauen",423,640,978,1261,1436,1524,1610,1634
"01 Østfold","Innvandrere","Luxembourg",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Makedonia",162,169,169,175,178,183,202,219
"01 Østfold","Innvandrere","Malta",0,3,0,0,3,0,0,0
"01 Østfold","Innvandrere","Man",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Moldova",8,14,14,20,19,21,23,29
"01 Østfold","Innvandrere","Monaco",0,0,3,0,0,0,0,0
"01 Østfold","Innvandrere","Montenegro",32,34,36,36,39,38,40,40
"01 Østfold","Innvandrere","Nederland",224,228,242,245,256,266,289,285
"01 Østfold","Innvandrere","Polen",3064,3497,4302,4919,5232,5450,5734,5923
"01 Østfold","Innvandrere","Portugal",31,35,43,49,62,69,67,73
"01 Østfold","Innvandrere","Romania",152,185,210,267,300,330,384,414
"01 Østfold","Innvandrere","Russland",506,533,563,603,656,695,734,752
"01 Østfold","Innvandrere","San Marino",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Serbia",196,208,220,233,264,296,325,369
"01 Østfold","Innvandrere","Serbia og Montenegro",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Slovakia",92,94,124,145,173,161,166,165
"01 Østfold","Innvandrere","Slovenia",11,16,21,24,31,37,35,36
"01 Østfold","Innvandrere","Spania",81,85,111,166,191,219,233,224
"01 Østfold","Innvandrere","Storbritannia",380,382,387,393,406,421,435,451
"01 Østfold","Innvandrere","Sveits",64,67,66,71,66,72,75,72
"01 Østfold","Innvandrere","Tsjekkia",73,77,72,81,89,90,89,82
"01 Østfold","Innvandrere","Tyrkia",454,453,462,467,477,457,486,516
"01 Østfold","Innvandrere","Tyskland",714,743,778,812,817,821,845,861
"01 Østfold","Innvandrere","Ukraina",97,105,106,128,159,164,184,198
"01 Østfold","Innvandrere","Ungarn",134,141,152,174,184,205,220,221
"01 Østfold","Innvandrere","Vatikanstaten",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Østerrike",50,50,54,61,61,60,64,63
"01 Østfold","Innvandrere","Algerie",58,60,60,64,67,68,71,76
"01 Østfold","Innvandrere","Angola",17,20,23,28,31,32,29,28
"01 Østfold","Innvandrere","Benin",0,0,0,0,3,3,3,6
"01 Østfold","Innvandrere","Botswana",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Det britiske territoriet i Indiahavet",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Burkina Faso",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Burundi",22,35,36,50,50,55,53,62
"01 Østfold","Innvandrere","Djibouti",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Egypt",25,32,33,36,38,42,47,53
"01 Østfold","Innvandrere","Ekvatorial-Guinea",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Elfenbeinskysten",8,7,5,4,6,6,12,11
"01 Østfold","Innvandrere","Eritrea",68,116,157,175,224,273,353,433
"01 Østfold","Innvandrere","Etiopia",79,98,113,122,130,144,179,205
"01 Østfold","Innvandrere","Gabon",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Gambia",12,13,15,20,23,27,35,39
"01 Østfold","Innvandrere","Ghana",27,26,27,28,28,29,30,31
"01 Østfold","Innvandrere","Guinea",3,3,0,3,3,3,8,9
"01 Østfold","Innvandrere","Guinea-Bissau",0,0,0,3,3,3,3,3
"01 Østfold","Innvandrere","Kamerun",11,13,15,14,20,23,29,27
"01 Østfold","Innvandrere","Kapp Verde",16,19,20,19,21,17,16,17
"01 Østfold","Innvandrere","Kenya",67,67,70,75,81,81,99,105
"01 Østfold","Innvandrere","Komorene",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Kongo",172,185,196,217,218,220,201,200
"01 Østfold","Innvandrere","Kongo-Brazzaville",5,4,5,5,10,10,12,12
"01 Østfold","Innvandrere","Lesotho",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Liberia",24,25,28,37,43,44,41,43
"01 Østfold","Innvandrere","Libya",22,23,25,22,22,24,33,34
"01 Østfold","Innvandrere","Madagaskar",0,3,3,3,3,3,3,3
"01 Østfold","Innvandrere","Malawi",3,0,3,0,0,0,3,3
"01 Østfold","Innvandrere","Mali",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Marokko",160,162,179,191,191,203,215,220
"01 Østfold","Innvandrere","Mauritania",0,0,3,3,3,3,3,3
"01 Østfold","Innvandrere","Mauritius",24,23,23,21,18,17,17,17
"01 Østfold","Innvandrere","Mayotte",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Mosambik",4,3,4,4,3,4,3,3
"01 Østfold","Innvandrere","Namibia",4,3,7,6,6,6,6,5
"01 Østfold","Innvandrere","Niger",0,0,0,0,0,0,3,0
"01 Østfold","Innvandrere","Nigeria",44,56,56,68,78,78,85,85
"01 Østfold","Innvandrere","Réunion",0,0,0,0,0,0,3,0
"01 Østfold","Innvandrere","Rwanda",37,38,46,48,49,52,48,52
"01 Østfold","Innvandrere","São Tomé og Príncipe",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Senegal",3,3,4,5,5,4,6,6
"01 Østfold","Innvandrere","Den sentralafrikanske republikk",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Seychellene",0,0,3,0,0,0,3,3
"01 Østfold","Innvandrere","Sierra Leone",14,13,13,15,16,15,15,18
"01 Østfold","Innvandrere","Somalia",1303,1468,1490,1665,1806,1925,1997,2059
"01 Østfold","Innvandrere","St. Helena",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Sudan",18,28,27,39,50,64,81,105
"01 Østfold","Innvandrere","Swaziland",0,0,0,0,0,0,0,0
"01 Østfold","Innvandrere","Sør-Afrika",28,28,33,35,38,39,33,38
