"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2010","Andel av befolkningen (prosent) 2011","Andel av befolkningen (prosent) 2012","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Marokko",8058,8305,8591,8844,9111,9396,9647,9955,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mauritania",17,20,28,33,48,56,57,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mauritius",211,214,215,219,221,223,225,231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mayotte",3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mosambik",126,128,142,155,167,179,174,183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Namibia",68,72,71,75,75,74,73,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Niger",39,43,49,54,57,57,70,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Nigeria",1247,1389,1577,1780,1964,2164,2274,2348,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Réunion",4,3,3,3,4,4,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Rwanda",653,688,710,742,760,791,819,820,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","São Tomé og Príncipe",3,3,3,3,3,3,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Senegal",205,220,250,273,281,305,334,357,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Den sentralafrikanske republikk",9,9,9,15,16,23,22,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Seychellene",11,12,11,10,10,11,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sierra Leone",553,574,593,614,631,664,669,679,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Somalia",25496,27523,29395,33117,35912,37631,40100,41463,0.52,0.56,0.59,0.66,0.70,0.73,0.77,0.79
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","St. Helena",3,3,3,3,3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sudan",1318,1611,1809,2482,3092,3679,4319,4999,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.10
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Swaziland",4,4,5,6,4,5,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sør-Afrika",773,809,840,914,951,986,1029,1061,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sør-Sudan",0,0,182,189,192,190,255,247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Tanzania",739,784,796,823,821,851,913,904,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Togo",129,135,143,151,155,160,158,162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Tsjad",21,24,26,25,23,24,37,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Tunisia",1106,1097,1174,1265,1279,1336,1399,1431,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Uganda",903,941,977,1068,1167,1263,1470,1486,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Vest-Sahara",12,21,28,35,41,41,36,35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Zambia",301,324,351,370,390,393,498,477,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Zimbabwe",193,210,226,246,254,269,266,274,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Afghanistan",10475,12043,13219,14449,15459,16320,17519,19560,0.22,0.24,0.27,0.29,0.30,0.32,0.34,0.37
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Armenia",226,251,275,311,336,361,354,372,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Aserbajdsjan",435,476,538,590,599,610,623,645,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bahrain",13,15,13,13,14,18,21,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bangladesh",799,850,933,1026,1086,1152,1217,1271,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bhutan",229,253,264,369,372,381,393,405,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Brunei",14,15,16,14,13,17,14,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Filippinene",13447,14797,16431,18007,19886,21098,21945,22892,0.28,0.30,0.33,0.36,0.39,0.41,0.42,0.44
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","De forente arabiske emirater",166,202,224,253,293,340,430,498,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Georgia",228,248,269,313,339,356,354,367,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Hongkong",831,834,843,858,853,878,1051,1053,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","India",9747,10096,10830,11960,12924,14087,14695,14933,0.20,0.21,0.22,0.24,0.25,0.27,0.28,0.28
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Indonesia",1148,1237,1343,1439,1468,1509,1525,1535,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Irak",26374,27827,28935,29614,30144,30660,31490,32304,0.54,0.57,0.58,0.59,0.59,0.59,0.60,0.61
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Iran",16321,16957,17913,18861,19793,20320,20461,21364,0.34,0.34,0.36,0.37,0.39,0.39,0.39,0.41
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Israel",612,630,642,687,697,717,726,761,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Japan",787,831,864,909,916,972,1007,1034,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Jemen",197,259,323,374,403,426,515,609,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Jordan",388,436,478,492,521,583,665,717,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kambodsja",485,500,519,535,564,593,564,582,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kasakhstan",715,767,813,889,956,1021,1047,1064,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kina",7326,7895,8458,9025,9491,9984,10197,10466,0.15,0.16,0.17,0.18,0.19,0.19,0.20,0.20
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kirgisistan",149,164,173,184,211,211,235,254,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kuwait",345,359,402,431,459,485,520,554,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kypros",103,112,119,124,144,168,176,182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Laos",92,95,103,107,110,113,119,127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Libanon",2397,2476,2566,2599,2624,2714,2864,3189,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Macao",87,96,97,102,92,90,89,89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Malaysia",485,514,573,668,713,727,833,847,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Maldivene",4,6,9,10,9,6,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mongolia",96,101,114,128,140,152,160,167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Myanmar",3015,3350,3527,3856,3974,4043,3843,3938,0.06,0.07,0.07,0.08,0.08,0.08,0.07,0.07
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Nepal",681,893,1013,1256,1418,1574,1689,1875,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Nord-Korea",39,39,41,40,40,39,38,38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Oman",6,12,17,15,20,29,22,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Pakistan",31061,31884,32737,33634,34447,35192,36026,36700,0.64,0.65,0.66,0.67,0.67,0.68,0.69,0.70
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Palestina",2939,3340,3593,3716,3825,3947,4050,4141,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Qatar",17,20,29,33,37,43,57,73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Saudi-Arabia",220,264,309,358,446,509,804,946,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Singapore",352,366,391,409,442,436,431,437,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sri Lanka",13772,14017,14293,14591,14797,15032,15203,15308,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Syria",2010,2163,2311,2820,3977,6436,10902,22285,0.04,0.04,0.05,0.06,0.08,0.12,0.21,0.42
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sør-Korea",795,828,898,957,1040,1121,1154,1174,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Tadsjikistan",102,106,109,116,125,121,129,135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Taiwan",218,227,244,251,259,269,290,308,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Thailand",12268,13293,14398,15583,16559,17314,18324,19524,0.25,0.27,0.29,0.31,0.32,0.34,0.35,0.37
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Turkmenistan",68,70,80,85,88,90,102,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Usbekistan",326,355,414,446,492,535,600,680,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Vietnam",20100,20452,20871,21351,21721,22061,22363,22658,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.43
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Øst-Timor",14,16,12,10,18,15,9,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","De amerikanske Jomfruøyene",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Anguilla",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Antigua og Barbuda",3,3,3,3,3,4,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Aruba",12,12,11,11,10,10,12,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bahamas",5,6,8,8,10,10,15,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Barbados",19,17,18,18,18,20,20,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Belize",8,10,11,11,11,12,12,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bermuda",4,4,3,3,4,4,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bonaire, Sint Eustatius og Saba",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","De britiske Jomfruøyene",0,0,0,3,3,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Canada",1602,1680,1666,1775,1786,1828,1952,1988,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.04
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Caymanøyene",3,4,4,4,5,7,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Costa Rica",112,104,113,115,133,145,146,150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Cuba",736,781,847,893,959,1015,1059,1099,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Curaçao",0,0,33,31,29,31,33,35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Dominica",24,24,24,24,27,27,33,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Den dominikanske republikk",609,648,716,777,844,883,948,1010,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","El Salvador",190,202,209,229,235,251,256,259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Franske Antiller",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Grenada",18,19,19,19,17,17,18,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guadeloupe",4,3,3,3,3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guatemala",146,162,167,181,191,198,207,212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Haiti",24,28,29,31,34,34,39,41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Honduras",101,103,100,110,117,119,127,129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Jamaica",135,147,152,158,160,154,168,168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Martinique",7,6,7,8,7,8,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mexico",773,846,916,1009,1094,1172,1233,1283,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Montserrat",3,3,3,3,3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","De nederlandske antillene",31,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Nicaragua",137,137,146,155,159,170,169,183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Panama",51,49,50,49,56,57,62,73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Puerto Rico",20,20,22,24,25,25,25,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Saint Kitts og Nevis",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Saint Lucia",13,13,13,13,14,14,13,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Saint Vincent og Grenadinene",4,3,3,4,4,5,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Saint-Barthélemy",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Saint-Martin",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Saint-Pierre-et-Miquelon",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Sint Maarten",0,0,0,3,3,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Trinidad og Tobago",259,263,262,263,269,273,272,264,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Turks- og Caicosøyene",0,0,0,3,3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","USA",7707,7853,8013,8424,8652,8732,9120,9119,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Argentina",649,700,766,828,890,953,1018,1027,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Bolivia",230,245,272,283,308,324,334,345,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Brasil",2814,3017,3327,3677,4017,4378,4482,4647,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Chile",7607,7708,7782,7865,7904,7956,7963,7960,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Colombia",1216,1307,1460,1663,1841,1977,1997,2079,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Ecuador",350,375,408,440,492,543,555,570,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Falklandsøyene",3,3,3,3,3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Fransk Guyana",4,5,5,5,5,4,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guyana",82,83,83,86,86,84,86,88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Paraguay",92,100,94,97,99,109,115,122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Peru",1054,1124,1136,1211,1295,1380,1402,1449,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Surinam",38,37,39,41,40,40,43,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Uruguay",185,197,211,214,234,236,236,232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Venezuela",580,641,781,912,996,1075,1114,1126,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Amerikansk Samoa",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Australia",1220,1294,1363,1430,1468,1535,1583,1598,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Christmasøya",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Cookøyene",0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Fiji",35,35,36,38,37,34,37,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Fransk Polynesia",5,5,4,5,5,6,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Guam",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kiribati",0,0,3,0,0,0,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Kokosøyene",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Marshalløyene",0,0,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mikronesiaføderasjonen",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Mindre stillehavsøyer (am.)",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Nauru",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","New Zealand",432,453,473,503,511,528,523,503,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Niue",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Nord-Marianene",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Norfolkøya",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Ny-Caledonia",6,6,6,4,4,4,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Palau",3,3,3,3,3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Innvandrere og norskfødte med innvandrerforeldre","Papua Ny-Guinea",5,4,3,0,3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
