"region","innvandringskategori","landbakgrunn","Personer 2010","Personer 2011","Personer 2012","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2010","Andel av befolkningen (prosent) 2011","Andel av befolkningen (prosent) 2012","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0 Hele landet","Norskfødte med innvandrerforeldre","Guam",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Kiribati",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Kokosøyene",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Marshalløyene",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Mikronesiaføderasjonen",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Mindre stillehavsøyer (am.)",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Nauru",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","New Zealand",18,15,16,18,17,16,17,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Niue",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Nord-Marianene",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Norfolkøya",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Ny-Caledonia",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Palau",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0 Hele landet","Norskfødte med innvandrerforeldre","Papua Ny-Guinea",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
